"NUTS3","Live_in","Sex","Age","Edu","Children","Garden_size","Pond","G_experience","Garden_type","Garea_Vege","Garea_Herb","Garea_Frui","Garea_Grap","Garea_Orna","Garea_Egree","Garea_Lawn","Garea_Undis","Habi_Beau","Habi_Cons","Habi_Mone","Habi_Produ","Moti_Pastime","Knowledge_Plant","Knowledge_Bird","Knowledge_Insect","Mowing","Unmowpatch","Plat_Oplants","Get_Seeds_Plants","Fertiliser","Herbic","Growing","Pesticide","Observing_polli","Support_Polli","Polli_Friendly","Biodiw_Network","NOMowMay","Information","ID"
"HU221","Countryside","Female","Under 36","High",0,"Large",0,"Newly","Orchard",1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,"Very often",0,1,"I collect the seeds from my garden;Supermarkets;Webshops;I get them from friends","I use compost",1,"Only for own use","Conventional pesticides/synthetic pesticides;Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating artificial habitats;Providing food sources;Water sources",1,"Yes","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms;Consulting with other garden owners;Consulting with professional gardeners/agronomists;TV, radio","ID_11"
"HU233","Countryside","Female","Under 36","High",0,"Medium",0,"Newly","House garden",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Often",1,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;Collecting in nature in my country;Webshops;I get them from friends","I do not fertilize",1,"Only for own use","Conventional pesticides/synthetic pesticides","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Creating artificial habitats;Providing food sources;Water sources",1,"Yes","Jointed","Gardening journals/magazines, books;Internet;Social media platforms;Consulting with other garden owners;TV, radio","ID_12"
"HU321","Town","Female","36-55","High",1,"Small",0,"Long ago","House garden",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"Often",1,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;Supermarkets;Webshops;I get them from friends","I use animal manure;I use compost",0,"Only for own use","Conventional pesticides/synthetic pesticides","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Providing food sources;Water sources",1,"Maybe","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms;Consulting with professional gardeners/agronomists","ID_13"
"HU120","City","Male","36-55","High",0,"Medium",0,"Long ago","House garden",1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,"Very often",0,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;Webshops","I use compost",1,"I do not grown plants for consumption and/or sale","Conventional pesticides/synthetic pesticides","Butterflies;Other wild bees;Wasps;Ants;Other flies","I do not support them actively",1,"Yes","Did not heard about it","Consulting with professional gardeners/agronomists","ID_14"
"HU120","City","Female","36-55","High",0,"Small",0,"Newly","Kitchen garden",1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,"Often",0,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;Webshops;I get them from friends","I use synthetic fertilizer",1,"Only for own use","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Wasps;Ants;Other flies;Beetles","I do not support them actively",1,"Yes","Did not heard about it","Internet;Social media platforms;Consulting with other garden owners","ID_15"
"HU322","Town","Male","36-55","Middle",0,"Small",0,"Long ago","Flower garden",1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,"Very often",0,1,"Markets or producers/growers","I use synthetic fertilizer",1,"Only for own use","Eco/Bio/Green labelled pesticides","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Other flies;Beetles","Creating/preserving natural habitats;Water sources",1,"Yes","Did not heard about it","Internet;TV, radio","ID_16"
"HU323","Town","Female","Over 55","High",0,"Large",0,"Long ago","House garden",1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,"Very often",1,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Supermarkets;Webshops;I get them from friends","I use animal manure;I use compost",0,"Only for own use","Conventional pesticides/synthetic pesticides","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Other flies;Beetles","Creating/preserving natural habitats;Creating artificial habitats;Water sources",1,"Yes","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms;Consulting with other garden owners","ID_17"
"HU333","Countryside","Male","Under 36","High",0,"Large",1,"Long ago","Kitchen garden",1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,"Rarely",1,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;Collecting in nature in my country;Supermarkets;Webshops;I get them from friends;I get them from people who I do not know","I use synthetic fertilizer;I use animal manure;I use compost",0,"Both for own use and sale","Conventional pesticides/synthetic pesticides;Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Creating artificial habitats;Providing food sources;Water sources",1,"Yes","Jointed","Gardening journals/magazines, books;Internet;Social media platforms;Self-training groups;Consulting with other garden owners;Consulting with professional gardeners/agronomists;TV, radio;Other","ID_18"
"HU120","Town","Male","36-55","High",0,"Small",0,"Newly","Kitchen garden",1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,"Often",1,0,"I collect the seeds from my garden;Seed exchange;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;Collecting in nature in my country;Supermarkets;I get them from friends","I use animal manure;I use compost",0,"Only for own use","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Honeybees;Ants;Beetles","I do not support them actively",1,"Yes","Did not heard about it","Gardening journals/magazines, books;Internet","ID_19"
"HU120","Town","Female","36-55","High",0,"Large",0,"Middle","Kitchen garden",1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,"Very often",1,1,"I collect the seeds from my garden;Seed exchange;Webshops","I use animal manure;I use compost",0,"Both for own use and sale","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Other wild bees;Ants;Hoverflies;Beetles","Creating/preserving natural habitats;Creating artificial habitats;Providing food sources;Water sources",1,"Yes","Did not heard about it","Internet;Social media platforms;Consulting with professional gardeners/agronomists","ID_20"
"HU120","Countryside","Female","36-55","Middle",1,"Medium",0,"Long ago","Flower garden",1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,"Very often",0,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers","I use synthetic fertilizer;I use animal manure",1,"Only for own use","Conventional pesticides/synthetic pesticides;Eco/Bio/Green labelled pesticides","Butterflies;Bumblebees;Honeybees;Wasps;Ants;Other flies;Beetles","Providing food sources;Water sources",1,"Yes","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms;Consulting with other garden owners","ID_21"
"HU120","Town","Female","36-55","High",1,"Medium",0,"Middle","Flower garden",1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,"Very often",0,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;Supermarkets;Webshops;I get them from friends","I use synthetic fertilizer",1,"Only for own use","No","Butterflies;Bumblebees;Honeybees;Other wild bees;Ants;Beetles","Water sources",0,"Maybe","Did not joint","Internet;Social media platforms","ID_22"
"HU312","Countryside","Female","36-55","High",0,"Large",0,"Newly","House garden",1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,"Rarely",0,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;I get them from friends;I get them from people who I do not know","I use compost",0,"Both for own use and sale","No","Butterflies;Honeybees;Wasps;Ants;Other flies;Beetles","Providing food sources;Water sources",1,"Maybe","Jointed","Gardening journals/magazines, books;Internet;Social media platforms;Consulting with other garden owners","ID_23"
"HU222","Countryside","Female","Under 36","Middle",0,"Small",0,"Middle","Kitchen garden",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,"Very often",1,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Supermarkets;Webshops","I use synthetic fertilizer;I use animal manure;I use compost",0,"Only for own use","Conventional pesticides/synthetic pesticides;Eco/Bio/Green labelled pesticides","Butterflies;Bumblebees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Providing food sources",1,"Yes","Did not heard about it","Internet;Social media platforms;Consulting with professional gardeners/agronomists","ID_24"
"HU221","Countryside","Male","Over 55","Middle",0,"Small",0,"Long ago","House garden",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,"Very often",0,1,"I collect the seeds from my garden;Seed exchange;Supermarkets","I use animal manure;I use compost",0,"Only for own use","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Wasps;Ants;Other flies;Beetles","Creating artificial habitats;Water sources",1,"Yes","Jointed","Gardening journals/magazines, books;Internet;Social media platforms;Consulting with other garden owners;Consulting with professional gardeners/agronomists;TV, radio","ID_25"
"HU120","City","Female","36-55","High",0,"Medium",0,"Newly","Kitchen garden",1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,"Often",1,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Supermarkets;Webshops","I do not fertilize",1,"Only for own use","Conventional pesticides/synthetic pesticides;Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Wasps;Ants;Other flies;Beetles","Creating/preserving natural habitats;Providing food sources;Water sources",1,"Yes","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms","ID_26"
"HU323","Countryside","Female","Under 36","High",0,"Medium",0,"Middle","House garden",1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,"Very often",0,0,"Webshops","I do not fertilize",0,"Only for own use","No","Butterflies;Bumblebees","I do not support them actively",0,"Yes","Did not heard about it","Internet;TV, radio;Other","ID_27"
"HU333","Town","Male","Under 36","High",0,"Medium",0,"Middle","House garden",1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,"Often",1,1,"Webshops","I use animal manure;I use compost",0,"Only for own use","Conventional pesticides/synthetic pesticides;Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Creating artificial habitats;Providing food sources;Water sources",1,"Yes","Did not joint","Gardening journals/magazines, books;Internet;Social media platforms;Consulting with other garden owners;Consulting with professional gardeners/agronomists","ID_28"
"HU323","Town","Female","36-55","High",1,"Medium",1,"Middle","House garden",1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,"Often",1,1,"I collect the seeds from my garden;Markets or producers/growers;Supermarkets;I get them from friends","I use animal manure;I use compost",0,"Only for own use","Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Providing food sources;Water sources",1,"Yes","Did not heard about it","Internet;Self-training groups;Consulting with professional gardeners/agronomists","ID_29"
"HU331","Town","Female","36-55","Middle",1,"Large",0,"Middle","Kitchen garden",1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,"Very often",1,1,"I collect the seeds from my garden;Markets or producers/growers;Webshops","I use synthetic fertilizer;I use animal manure",0,"Both for own use and sale","Conventional pesticides/synthetic pesticides;Eco/Bio/Green labelled pesticides","Butterflies;Bumblebees;Honeybees;Other wild bees;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Water sources",1,"Yes","Did not heard about it","Other","ID_30"
"HU120","Town","Female","36-55","High",0,"Medium",0,"Long ago","Flower garden",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,"Often",1,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;I get them from friends","I use animal manure;I use compost",0,"Only for own use","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Creating artificial habitats;Providing food sources;Water sources",1,"Maybe","Did not heard about it","Internet;Social media platforms;Consulting with professional gardeners/agronomists","ID_31"
"HU322","Town","Female","Under 36","Middle",1,"Small",0,"Newly","House garden",1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,"Very often",0,1,"Seed exchange;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;Collecting in nature in my country;Supermarkets;I get them from friends","I use animal manure;I use compost",0,"Only for own use","Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Providing food sources",0,"Maybe","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms;TV, radio","ID_32"
"HU120","Town","Female","Under 36","High",1,"Small",0,"Newly","House garden",1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,"Often",0,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Collecting in nature in my country;Supermarkets;Webshops","I use animal manure",0,"Only for own use","No","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats",1,"Yes","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms;TV, radio","ID_33"
"HU311","City","Male","Over 55","High",0,"Medium",0,"Long ago","Orchard",1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,"Never",1,1,"I collect the seeds from my garden;Seed exchange;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;I get them from friends","I use synthetic fertilizer;I use compost",0,"Both for own use and sale","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Creating artificial habitats;Providing food sources;Water sources",1,"Maybe","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms;Self-training groups;Consulting with other garden owners;Consulting with professional gardeners/agronomists","ID_34"
"HU222","Town","Male","Under 36","High",0,"Small",0,"Long ago","House garden",1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,"Very often",0,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;I get them from friends","I use synthetic fertilizer;I use animal manure;I use compost",1,"Only for own use","Conventional pesticides/synthetic pesticides;Eco/Bio/Green labelled pesticides","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","I do not support them actively",1,"Maybe","Did not heard about it","Internet;Consulting with other garden owners","ID_35"
"HU120","City","Female","Under 36","High",0,"Small",0,"Newly","House garden",1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,"Often",0,1,"Markets or producers/growers;Supermarkets","I use animal manure;I use compost",1,"Only for own use","Conventional pesticides/synthetic pesticides","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating artificial habitats",1,"Maybe","Jointed","Gardening journals/magazines, books;Internet;Social media platforms","ID_36"
"HU120","Town","Female","Under 36","High",0,"Small",0,"Long ago","House garden",0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,"Very often",0,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres","I do not fertilize",0,"Only for own use","No","Butterflies;Bumblebees;Wasps;Ants;Hoverflies;Other flies;Beetles","I do not support them actively",1,"No","Did not heard about it","Internet;Consulting with other garden owners","ID_37"
"HU311","City","Female","Over 55","High",0,"Large",0,"Long ago","Orchard",1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,"Rarely",0,0,"I collect the seeds from my garden;Markets or producers/growers;Supermarkets","I use compost",0,"Only for own use","No","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","I do not support them actively",1,"Yes","Jointed","Internet;Social media platforms;Other","ID_38"
"HU120","Countryside","Female","Under 36","High",0,"Small",0,"Long ago","Kitchen garden",1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,"Often",1,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;I get them from friends","I use animal manure;I use compost",0,"Only for own use","No","Butterflies;Bumblebees;Honeybees;Wasps;Ants;Hoverflies;Beetles","Creating/preserving natural habitats;Creating artificial habitats",1,"Yes","Did not heard about it","Internet;Other","ID_39"
"HU120","City","Male","Under 36","High",0,"Small",0,"Middle","Kitchen garden",1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,"Never",1,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Collecting in nature in my country;Supermarkets;I get them from friends","I do not fertilize",0,"Only for own use","No","Bumblebees;Other wild bees;Wasps;Ants;Other flies;Beetles","Creating/preserving natural habitats;Creating artificial habitats;Providing food sources;Water sources",1,"Yes","Jointed","Consulting with other garden owners;Consulting with professional gardeners/agronomists","ID_40"
"HU322","City","Female","Under 36","High",0,"Large",0,"Long ago","House garden",0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,"Often",1,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres","I use animal manure",0,"Only for own use","No","Honeybees;Ants;Other flies;Beetles","Creating/preserving natural habitats;Water sources",1,"Maybe","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms;TV, radio","ID_41"
"HU311","Countryside","Female","36-55","High",1,"Medium",0,"Long ago","Kitchen garden",1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,"Rarely",1,0,"I collect the seeds from my garden;Seed exchange;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;Collecting in nature in my country;Supermarkets;Webshops;I get them from friends;I get them from people who I do not know","I use animal manure",0,"Both for own use and sale","No","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Providing food sources;Water sources",1,"Yes","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms;Self-training groups;Consulting with other garden owners;Consulting with professional gardeners/agronomists","ID_42"
"HU223","Town","Male","36-55","High",0,"Small",0,"Middle","Flower garden",0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,"Often",1,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers;I get them from friends","I do not fertilize",0,"I do not grown plants for consumption and/or sale","No","Butterflies;Bumblebees;Honeybees;Wasps;Ants;Other flies;Beetles","I do not support them actively",0,"No","Did not heard about it","Gardening journals/magazines, books;Consulting with professional gardeners/agronomists","ID_43"
"HU311","City","Female","Over 55","High",0,"Medium",0,"Long ago","Kitchen garden",1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,"Very often",1,1,"I collect the seeds from my garden;Seed exchange;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;I get them from friends","I use compost",0,"Only for own use","Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Wasps;Ants","Creating/preserving natural habitats;Water sources",1,"Maybe","Jointed","Gardening journals/magazines, books;Social media platforms;Consulting with other garden owners","ID_44"
"HU120","Town","Female","36-55","High",1,"Medium",0,"Long ago","House garden",1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,"Very often",0,1,"Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Markets or producers/growers","I use animal manure",0,"Only for own use","No","Bumblebees;Wasps;Ants;Beetles","I do not support them actively",0,"Maybe","Did not heard about it","Internet","ID_45"
"HU211","Countryside","Female","36-55","High",1,"Large",0,"Long ago","Flower garden",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,"Often",1,1,"I collect the seeds from my garden;Markets or producers/growers;I get them from friends;I get them from people who I do not know","I use animal manure;I use compost",0,"Both for own use and sale","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Other wild bees;Ants;Hoverflies;Beetles","Creating/preserving natural habitats;Providing food sources;Water sources",1,"Yes","Did not heard about it","Internet;Social media platforms;Consulting with other garden owners;Consulting with professional gardeners/agronomists;TV, radio","ID_46"
"HU120","Town","Female","Over 55","Middle",1,"Large",0,"Long ago","CG and other",1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,"Very often",0,1,"I collect the seeds from my garden;Shops specialised in farming and gardening e.g. horticulture shops, gardencentres;Collecting in nature in my country;Collecting in nature abroad;Supermarkets;I get them from people who I do not know","I use animal manure;I use compost",1,"Only for own use","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats",1,"Yes","Did not heard about it","Gardening journals/magazines, books;Internet;Social media platforms;Self-training groups;Consulting with other garden owners;Consulting with professional gardeners/agronomists;Other","ID_47"
"HU231","City","Female","Over 55","High",0,"Small",0,"Long ago","House garden",1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,"Rarely",1,1,"I collect the seeds from my garden;Collecting in nature in my country;Collecting in nature abroad;Supermarkets;Webshops;I get them from friends","I do not fertilize",0,"Only for own use","Eco/Bio/Green labelled pesticides;Self-made pesticides, home practices","Butterflies;Bumblebees;Honeybees;Other wild bees;Wasps;Ants;Hoverflies;Other flies;Beetles","Creating/preserving natural habitats;Providing food sources",1,"Yes","Did not heard about it","Internet;Social media platforms;Consulting with other garden owners","ID_48"
